"","avg_temp","full_date","year","date","tooltip"
"285",24.6,"July 11, 1878",1878,"07-11","July 11, 1878 :  24.6 ° C"
"286",23.6,"July 12, 1878",1878,"07-12","July 12, 1878 :  23.6 ° C"
"287",23.9,"July 13, 1878",1878,"07-13","July 13, 1878 :  23.9 ° C"
"288",26.3,"July 14, 1878",1878,"07-14","July 14, 1878 :  26.3 ° C"
"289",26,"July 15, 1878",1878,"07-15","July 15, 1878 :  26 ° C"
"290",25.8,"July 16, 1878",1878,"07-16","July 16, 1878 :  25.8 ° C"
"291",26.8,"July 17, 1878",1878,"07-17","July 17, 1878 :  26.8 ° C"
"292",28.6,"July 18, 1878",1878,"07-18","July 18, 1878 :  28.6 ° C"
"293",27.3,"July 19, 1878",1878,"07-19","July 19, 1878 :  27.3 ° C"
"294",28.2,"July 20, 1878",1878,"07-20","July 20, 1878 :  28.2 ° C"
"295",27.6,"July 21, 1878",1878,"07-21","July 21, 1878 :  27.6 ° C"
"296",25.7,"July 22, 1878",1878,"07-22","July 22, 1878 :  25.7 ° C"
"297",24.4,"July 23, 1878",1878,"07-23","July 23, 1878 :  24.4 ° C"
"298",26.1,"July 24, 1878",1878,"07-24","July 24, 1878 :  26.1 ° C"
"299",25.6,"July 25, 1878",1878,"07-25","July 25, 1878 :  25.6 ° C"
"300",27.4,"July 26, 1878",1878,"07-26","July 26, 1878 :  27.4 ° C"
"301",28.2,"July 27, 1878",1878,"07-27","July 27, 1878 :  28.2 ° C"
"302",28.5,"July 28, 1878",1878,"07-28","July 28, 1878 :  28.5 ° C"
"303",29.2,"July 29, 1878",1878,"07-29","July 29, 1878 :  29.2 ° C"
"304",29.2,"July 30, 1878",1878,"07-30","July 30, 1878 :  29.2 ° C"
"305",29.6,"July 31, 1878",1878,"07-31","July 31, 1878 :  29.6 ° C"
"306",27.1,"August 01, 1878",1878,"08-01","August 01, 1878 :  27.1 ° C"
"307",22.9,"August 02, 1878",1878,"08-02","August 02, 1878 :  22.9 ° C"
"308",25.1,"August 03, 1878",1878,"08-03","August 03, 1878 :  25.1 ° C"
"309",26.8,"August 04, 1878",1878,"08-04","August 04, 1878 :  26.8 ° C"
"310",24.8,"August 05, 1878",1878,"08-05","August 05, 1878 :  24.8 ° C"
"311",27.5,"August 06, 1878",1878,"08-06","August 06, 1878 :  27.5 ° C"
"312",22.7,"August 07, 1878",1878,"08-07","August 07, 1878 :  22.7 ° C"
"313",21.4,"August 08, 1878",1878,"08-08","August 08, 1878 :  21.4 ° C"
"314",22,"August 09, 1878",1878,"08-09","August 09, 1878 :  22 ° C"
"315",22.3,"August 10, 1878",1878,"08-10","August 10, 1878 :  22.3 ° C"
"316",20.5,"August 11, 1878",1878,"08-11","August 11, 1878 :  20.5 ° C"
"317",20.8,"August 12, 1878",1878,"08-12","August 12, 1878 :  20.8 ° C"
"318",24.2,"August 13, 1878",1878,"08-13","August 13, 1878 :  24.2 ° C"
"319",24.4,"August 14, 1878",1878,"08-14","August 14, 1878 :  24.4 ° C"
"320",22.7,"August 15, 1878",1878,"08-15","August 15, 1878 :  22.7 ° C"
"321",21.8,"August 16, 1878",1878,"08-16","August 16, 1878 :  21.8 ° C"
"322",24.7,"August 17, 1878",1878,"08-17","August 17, 1878 :  24.7 ° C"
"323",25,"August 18, 1878",1878,"08-18","August 18, 1878 :  25 ° C"
